,timestamp,EOS/USD,LTC/USD,z_score,hr,num_of_unit_long,num_of_unit_short,num_units,total_invested,spread_pct_change,actual_commission,impact fee,margin_fee,curr_return,cumul_return
0,2019-07-17 23:42:37.861715,4.01455,90.9965,,,0,0,0,,,0,0,0,,
0,2019-07-17 23:42:41.650077,4.0191,91.1295,,,0,0,0,,,0,0,0,,
0,2019-07-17 23:42:52.070933,4.02715,91.1295,,,0,0,0,,,0,0,0,,
0,2019-07-18 00:10:09.239455,4.04995,92.2155,,,0,0,0,,,0,0,0,,
0,2019-07-18 00:10:19.225954,4.04995,92.4845,,,0,0,0,,,0,0,0,,
0,2019-07-18 00:12:11.026483,4.0241,92.5,,,0,0,0,,,0,0,0,,
0,2019-07-18 00:15:15.182677,3.99855,91.875,,,0,0,0,,,0,0,0,,
0,2019-07-17 16:17:23.962499,3.96035,90.6545,,,0,0,0,,,0,0,0,,
0,2019-09-25 17:40:24.608157,2.8817,57.328,,,0,0,0,,,0,0,0,,
0,2019-09-25 17:40:30.582457,2.8817,57.3545,,,0,0,0,,,0,0,0,,
0,2019-09-25 17:40:40.548914,2.8811,57.338,,,0,0,0,,,0,0,0,,
0,2019-09-25 17:40:50.903414,2.88185,57.298,,,0,0,0,,,0,0,0,,
0,2019-09-25 17:41:00.557885,2.8804,57.301,,,0,0,0,,,0,0,0,,
0,2019-09-25 17:41:10.547396,2.87835,57.295,,,0,0,0,,,0,0,0,,
0,2019-09-25 17:41:20.543178,2.87765,57.218999999999994,,,0,0,0,,,0,0,0,,
0,2019-09-25 17:41:30.550602,2.87785,57.2325,,,0,0,0,,,0,0,0,,
0,2019-09-25 17:41:40.539011,2.87685,57.2315,,,0,0,0,,,0,0,0,,
